label,name,status,error,skill,speed,delay_ms,seed,dt,motor_curve,voltage,moving_speed,flight_s,jump,running,motion_failed,settled,peak_ground_force,peak_torque,limit_excess,camera_yaw_rms,camera_pitch_rms
source,run_v0.45_d5_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,5,101,0.00125,False,12.6,0.2560748750181155,0.0,False,False,False,True,36.60330169739831,0.6,0.0,0.5552221848257675,0.9381099035679065
source,run_v0.45_d5_s102_dt0.00125_curve0_V12.6,FAILED,ValueError('Calibration angular motion is excessive'),run,0.45,5,102,0.00125,False,12.6,,,,,,,,,,,
source,run_v0.45_d5_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,5,103,0.00125,False,12.6,0.25751396306487023,0.0,False,False,False,False,36.21244439545288,0.6,0.0,0.62396048327462,0.8467278255637057
source,run_v0.45_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,10,101,0.00125,False,12.6,0.266995663432006,0.0,False,False,False,True,36.83765236437606,0.6,0.0,0.46968285808323246,1.4737891748367358
source,run_v0.45_d10_s102_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,10,102,0.00125,False,12.6,0.2686778969076075,0.0,False,False,False,True,38.41300094385901,0.6,0.0,0.46417711383470656,1.4381677714365622
source,run_v0.45_d10_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,10,103,0.00125,False,12.6,0.2661307373978965,0.0,False,False,False,True,37.077958976716126,0.6,0.0,0.43786510255858957,1.5634261261756737
source,run_v0.45_d15_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,15,101,0.00125,False,12.6,0.27345490386797067,0.0,False,False,False,True,38.28833805969767,0.6,0.0,0.43163306512702976,1.315926033757275
source,run_v0.45_d15_s102_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,15,102,0.00125,False,12.6,0.2731053821847657,0.0,False,False,False,True,37.655843352293175,0.6,0.0,0.4085939049064824,1.3177052025180838
source,run_v0.45_d15_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.45,15,103,0.00125,False,12.6,0.27349752059277177,0.0,False,False,False,True,37.82278841999641,0.6,0.0,0.4038440179191493,1.3627378338105423
source,run_v0.6_d5_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,5,101,0.00125,False,12.6,0.29720369692196574,0.0,False,False,False,False,41.07126700311063,0.6,0.0,0.33963852719310855,1.0652203230396942
source,run_v0.6_d5_s102_dt0.00125_curve0_V12.6,FAILED,ValueError('Calibration angular motion is excessive'),run,0.6,5,102,0.00125,False,12.6,,,,,,,,,,,
source,run_v0.6_d5_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,5,103,0.00125,False,12.6,0.2917260153320558,0.0,False,False,False,False,41.545756667407254,0.6,0.0,0.34947265718751264,1.0546487250712302
source,run_v0.6_d10_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,10,101,0.00125,False,12.6,0.3040647488053609,0.0,False,False,False,True,42.31881885701148,0.6,0.0,0.5332604149508141,1.5451581274859345
source,run_v0.6_d10_s102_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,10,102,0.00125,False,12.6,0.3060424105180354,0.0,False,False,False,True,41.987014131741354,0.6,0.0,0.5292735264496579,1.562158539795854
source,run_v0.6_d10_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,10,103,0.00125,False,12.6,0.30446557621223674,0.0,False,False,False,True,41.18240373303667,0.6,0.0,0.5450613720568714,1.479518947066511
source,run_v0.6_d15_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,15,101,0.00125,False,12.6,0.309148694251443,0.0,False,False,False,True,43.88473585754279,0.6,0.0,0.5926505840132078,1.30875065151381
source,run_v0.6_d15_s102_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,15,102,0.00125,False,12.6,0.3091172434131094,0.0,False,False,False,True,42.99585004007258,0.6,0.0,0.60832279035742,1.2765069753309741
source,run_v0.6_d15_s103_dt0.00125_curve0_V12.6,COMPLETE,,run,0.6,15,103,0.00125,False,12.6,0.3093034622966401,0.0,False,False,False,True,42.889837425504474,0.6,0.0,0.5456989250024122,1.3377594320701651
source,run_v0.8_d5_s101_dt0.00125_curve0_V12.6,COMPLETE,,run,0.8,5,101,0.00125,False,12.6,0.33068981675153847,0.0,False,False,False,True,47.70493986657302,0.6,0.0,0.6545824803374777,1.4781058705186672
